accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
1.0,1.0,1.0,333,303,lr,vibration_drift_050rms,0.11805729998741299
1.0,1.0,1.0,333,303,lr,vibration_drift_100rms,0.11805729998741299
1.0,1.0,1.0,333,303,lr,electrical_drift_025rms,0.11805729998741299
0.9949494949494949,0.9949483352468427,0.9949483352468428,333,303,lr,electrical_drift_050rms,0.11805729998741299
0.7373737373737373,0.6751533568952447,0.6751533568952447,333,303,lr,electrical_drift_100rms,0.11805729998741299
1.0,1.0,1.0,333,303,svm_rbf,clean_reextract,0.9047083000186831
0.9305555555555556,0.9303215693218304,0.9303215693218304,333,303,svm_rbf,vibration_missing,0.9047083000186831
0.9507575757575758,0.9498385996083604,0.9498385996083606,333,303,svm_rbf,electrical_missing,0.9047083000186831
1.0,1.0,1.0,333,303,svm_rbf,vibration_gain_075,0.9047083000186831
1.0,1.0,1.0,333,303,svm_rbf,vibration_gain_050,0.9047083000186831
0.9810606060606061,0.9809376231681171,0.9809376231681171,333,303,svm_rbf,vibration_gain_025,0.9047083000186831
0.1755050505050505,0.06476912254275097,0.06476912254275097,333,303,svm_rbf,electrical_gain_075,0.9047083000186831
0.9962121212121212,0.9962116320117094,0.9962116320117095,333,303,svm_rbf,electrical_gain_050,0.9047083000186831
0.4356060606060606,0.33787509648150965,0.33787509648150965,333,303,svm_rbf,electrical_gain_025,0.9047083000186831
1.0,1.0,1.0,333,303,svm_rbf,vibration_drift_025rms,0.9047083000186831
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,303,svm_rbf,vibration_drift_050rms,0.9047083000186831
0.9974747474747475,0.9974746025368765,0.9974746025368766,333,303,svm_rbf,vibration_drift_100rms,0.9047083000186831
1.0,1.0,1.0,333,303,svm_rbf,electrical_drift_025rms,0.9047083000186831
1.0,1.0,1.0,333,303,svm_rbf,electrical_drift_050rms,0.9047083000186831
0.6742424242424242,0.6211550049354541,0.6211550049354541,333,303,svm_rbf,electrical_drift_100rms,0.9047083000186831
0.9924242424242424,0.9924288439973236,0.9924288439973237,333,303,knn,clean_reextract,0.0015518999425694346
0.5606060606060606,0.5541947893382946,0.5541947893382947,333,303,knn,vibration_missing,0.0015518999425694346
0.9785353535353535,0.978445978071376,0.978445978071376,333,303,knn,electrical_missing,0.0015518999425694346
0.9873737373737373,0.9873870289413955,0.9873870289413956,333,303,knn,vibration_gain_075,0.0015518999425694346
0.9696969696969697,0.9697763171728967,0.9697763171728967,333,303,knn,vibration_gain_050,0.0015518999425694346
0.9103535353535354,0.9097734610117713,0.9097734610117713,333,303,knn,vibration_gain_025,0.0015518999425694346
0.5037878787878788,0.4831410449652926,0.48314104496529264,333,303,knn,electrical_gain_075,0.0015518999425694346
0.9722222222222222,0.9723607384314571,0.9723607384314571,333,303,knn,electrical_gain_050,0.0015518999425694346
0.6881313131313131,0.6256125276253753,0.6256125276253754,333,303,knn,electrical_gain_025,0.0015518999425694346
0.9924242424242424,0.9924288439973236,0.9924288439973237,333,303,knn,vibration_drift_025rms,0.0015518999425694346
0.9924242424242424,0.9924288439973236,0.9924288439973237,333,303,knn,vibration_drift_050rms,0.0015518999425694346
0.9936868686868687,0.9936864536213329,0.993686453621333,333,303,knn,vibration_drift_100rms,0.0015518999425694346
0.98989898989899,0.9898958003109629,0.989895800310963,333,303,knn,electrical_drift_025rms,0.0015518999425694346
0.9886363636363636,0.9886551680945126,0.9886551680945125,333,303,knn,electrical_drift_050rms,0.0015518999425694346
0.9722222222222222,0.9723826207637506,0.9723826207637506,333,303,knn,electrical_drift_100rms,0.0015518999425694346
0.9507575757575758,0.9503312100624867,0.9503312100624868,333,303,gnb,clean_reextract,0.0035429999697953463
0.17803030303030304,0.06817496229260935,0.06817496229260936,333,303,gnb,vibration_missing,0.0035429999697953463
0.9002525252525253,0.8960485980749197,0.8960485980749195,333,303,gnb,electrical_missing,0.0035429999697953463
0.9318181818181818,0.9305816519716558,0.9305816519716557,333,303,gnb,vibration_gain_075,0.0035429999697953463
0.8888888888888888,0.8893539317583384,0.8893539317583387,333,303,gnb,vibration_gain_050,0.0035429999697953463
0.7146464646464646,0.6633378161969845,0.6633378161969844,333,303,gnb,vibration_gain_025,0.0035429999697953463
